path,type,name,signature,language,intent,category,domain,imports
code2logic/__init__.py,function,analyze_quality,(target),python,processes quality,other,code2logic,"adaptive.LLM_CAPABILITIES,adaptive.AdaptiveReproducer,adaptive.AdaptiveResult,adaptive.get_llm_capabilities,analyzer.ProjectAnalyzer"
code2logic/__init__.py,function,reproduce_project,(source),python,reproduce project,other,code2logic,"adaptive.LLM_CAPABILITIES,adaptive.AdaptiveReproducer,adaptive.AdaptiveResult,adaptive.get_llm_capabilities,analyzer.ProjectAnalyzer"
code2logic/adaptive.py,class,ChunkInfo,(),python,,other,code2logic,"dataclasses.dataclass,pathlib.Path,typing.Any,typing.Dict,typing.List"
code2logic/adaptive.py,class,AdaptiveResult,(),python,,other,code2logic,"dataclasses.dataclass,pathlib.Path,typing.Any,typing.Dict,typing.List"
code2logic/adaptive.py,class,AdaptiveReproducer,(),python,,other,code2logic,"dataclasses.dataclass,pathlib.Path,typing.Any,typing.Dict,typing.List"
code2logic/adaptive.py,method,AdaptiveReproducer.__init__,"(client,model)",python,creates,lifecycle,code2logic,"dataclasses.dataclass,pathlib.Path,typing.Any,typing.Dict,typing.List"
code2logic/adaptive.py,method,AdaptiveReproducer._get_capabilities,"()->Dict[str, Any]",python,retrieves capabilities,read,code2logic,"dataclasses.dataclass,pathlib.Path,typing.Any,typing.Dict,typing.List"
code2logic/adaptive.py,method,AdaptiveReproducer.select_format,"(file_path,content)->str",python,retrieves format,transform,code2logic,"dataclasses.dataclass,pathlib.Path,typing.Any,typing.Dict,typing.List"
code2logic/adaptive.py,method,AdaptiveReproducer.should_chunk,(content)->bool,python,checks chunk,other,code2logic,"dataclasses.dataclass,pathlib.Path,typing.Any,typing.Dict,typing.List"
code2logic/adaptive.py,method,AdaptiveReproducer.chunk_content,"(content,file_path)->List[ChunkInfo]",python,chunk content,other,code2logic,"dataclasses.dataclass,pathlib.Path,typing.Any,typing.Dict,typing.List"
code2logic/adaptive.py,method,AdaptiveReproducer.generate_chunk_spec,"(chunk,format_name)->str",python,creates chunk spec,create,code2logic,"dataclasses.dataclass,pathlib.Path,typing.Any,typing.Dict,typing.List"
code2logic/adaptive.py,method,AdaptiveReproducer._gherkin_for_chunk,(chunk)->str,python,gherkin for chunk,other,code2logic,"dataclasses.dataclass,pathlib.Path,typing.Any,typing.Dict,typing.List"
code2logic/adaptive.py,method,AdaptiveReproducer._yaml_for_chunk,(chunk)->str,python,yaml for chunk,other,code2logic,"dataclasses.dataclass,pathlib.Path,typing.Any,typing.Dict,typing.List"
code2logic/adaptive.py,method,AdaptiveReproducer._json_for_chunk,(chunk)->str,python,json for chunk,other,code2logic,"dataclasses.dataclass,pathlib.Path,typing.Any,typing.Dict,typing.List"
code2logic/adaptive.py,method,AdaptiveReproducer.reproduce,"(file_path,output_dir)->AdaptiveResult",python,reproduce,other,code2logic,"dataclasses.dataclass,pathlib.Path,typing.Any,typing.Dict,typing.List"
code2logic/adaptive.py,method,AdaptiveReproducer._reproduce_single,"(path,content,format_name,output_dir)->AdaptiveResult",python,reproduce single,other,code2logic,"dataclasses.dataclass,pathlib.Path,typing.Any,typing.Dict,typing.List"
